site,date,start_hour,value,variable,units,quality,prelim,name 
2373,2020-01-09,15,0.0078,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,16,0.0085,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,17,0.0159,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,18,0.0241,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,19,0.0289,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,20,0.0286,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,21,0.0269,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,22,0.0298,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,23,0.0281,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-10,0,0.0279,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-10,1,0.0251,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-10,4,0.0193,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-10,5,0.0201,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-10,6,0.0213,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-10,7,0.0231,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-10,8,0.0194,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-10,9,0.0175,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-10,10,0.0162,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-10,11,0.0145,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
