,name,date,OZONE,Pre-Shelter in place mean,Post-Shelter in place mean
300,Oakland-9925 International Blvd,2020-03-07,0.030247826086956517,0.026242419703663568,
301,Livermore-793 Rincon Avenue,2020-03-07,0.03108695652173913,0.026242419703663568,
302,San Jose-Jackson Street,2020-03-07,0.02969090909090909,0.026242419703663568,
303,San Pablo-Rumrill Blvd,2020-03-07,0.03130869565217391,0.026242419703663568,
304,Oakland-West,2020-03-07,0.03387826086956522,0.026242419703663568,
305,Sebastopol-103 Morris Street            ,2020-03-07,0.029043478260869563,0.026242419703663568,
306,Berkeley-Aquatic Park                   ,2020-03-07,0.029391304347826084,0.026242419703663568,
307,Napa-Valley College,2020-03-07,0.03326086956521739,0.026242419703663568,
308,Redwood City,2020-03-08,0.02613478260869565,0.026242419703663568,
309,Gilroy-9th Street,2020-03-08,0.030339130434782608,0.026242419703663568,
310,San Francisco-Arkansas Street,2020-03-08,0.03100434782608696,0.026242419703663568,
311,Vallejo-304 Tuolumne Street,2020-03-08,0.023539130434782608,0.026242419703663568,
312,San Rafael,2020-03-08,0.023443478260869562,0.026242419703663568,
313,Concord-2956-A Treat Blvd,2020-03-08,0.02103478260869565,0.026242419703663568,
314,Oakland-9925 International Blvd,2020-03-08,0.024821739130434787,0.026242419703663568,
315,Livermore-793 Rincon Avenue,2020-03-08,0.02385217391304348,0.026242419703663568,
316,San Jose-Jackson Street,2020-03-08,0.029868181818181825,0.026242419703663568,
317,San Pablo-Rumrill Blvd,2020-03-08,0.025477272727272737,0.026242419703663568,
318,Oakland-West,2020-03-08,0.028600000000000004,0.026242419703663568,
319,Sebastopol-103 Morris Street            ,2020-03-08,0.01999565217391304,0.026242419703663568,
320,Berkeley-Aquatic Park                   ,2020-03-08,0.0235695652173913,0.026242419703663568,
321,Napa-Valley College,2020-03-08,0.024421739130434782,0.026242419703663568,
322,Redwood City,2020-03-09,0.022386363636363635,0.026242419703663568,
323,Gilroy-9th Street,2020-03-09,0.026243478260869563,0.026242419703663568,
324,San Francisco-Arkansas Street,2020-03-09,0.02510869565217391,0.026242419703663568,
325,Vallejo-304 Tuolumne Street,2020-03-09,0.022963636363636363,0.026242419703663568,
326,San Rafael,2020-03-09,0.024569565217391308,0.026242419703663568,
327,Concord-2956-A Treat Blvd,2020-03-09,0.023778260869565214,0.026242419703663568,
328,Oakland-9925 International Blvd,2020-03-09,0.027065217391304346,0.026242419703663568,
329,Livermore-793 Rincon Avenue,2020-03-09,0.02352173913043478,0.026242419703663568,
330,San Jose-Jackson Street,2020-03-09,0.019840909090909093,0.026242419703663568,
331,San Pablo-Rumrill Blvd,2020-03-09,0.025904347826086957,0.026242419703663568,
332,Oakland-West,2020-03-09,0.0232,0.026242419703663568,
333,Sebastopol-103 Morris Street            ,2020-03-09,0.02553478260869566,0.026242419703663568,
334,Berkeley-Aquatic Park                   ,2020-03-09,0.022043478260869564,0.026242419703663568,
335,Napa-Valley College,2020-03-09,0.02953478260869566,0.026242419703663568,
336,Redwood City,2020-03-10,0.02458181818181818,0.026242419703663568,
337,Gilroy-9th Street,2020-03-10,0.025810526315789478,0.026242419703663568,
338,San Francisco-Arkansas Street,2020-03-10,0.028704761904761907,0.026242419703663568,
339,Vallejo-304 Tuolumne Street,2020-03-10,0.021221739130434784,0.026242419703663568,
340,San Rafael,2020-03-10,0.022923529411764704,0.026242419703663568,
