,name,date,NO2,Pre-Shelter in place mean,Post-Shelter in place mean
91,Sebastopol-103 Morris Street            ,2020-02-06,0.0075,0.011839483989298653,
92,San Jose-Knox Avenue                    ,2020-02-06,0.02500869565217391,0.011839483989298653,
93,Berkeley-Aquatic Park                   ,2020-02-06,0.025430434782608695,0.011839483989298653,
94,Napa-Valley College,2020-02-06,0.011347826086956522,0.011839483989298653,
95,Pleasanton-Owens Ct                     ,2020-02-06,0.02070434782608696,0.011839483989298653,
96,Redwood City,2020-02-07,0.01834545454545455,0.011839483989298653,
97,San Francisco-Arkansas Street,2020-02-07,0.016527272727272724,0.011839483989298653,
98,Vallejo-304 Tuolumne Street,2020-02-07,0.015272727272727271,0.011839483989298653,
99,San Rafael,2020-02-07,0.014754545454545454,0.011839483989298653,
100,Concord-2956-A Treat Blvd,2020-02-07,0.014699999999999998,0.011839483989298653,
101,Oakland-9925 International Blvd,2020-02-07,0.01898695652173913,0.011839483989298653,
102,Livermore-793 Rincon Avenue,2020-02-07,0.01861739130434783,0.011839483989298653,
103,San Jose-Jackson Street,2020-02-07,0.018981818181818183,0.011839483989298653,
104,San Pablo-Rumrill Blvd,2020-02-07,0.014460869565217391,0.011839483989298653,
105,Oakland-West,2020-02-07,0.02212727272727273,0.011839483989298653,
106,Oakland-Laney College                   ,2020-02-07,0.024391304347826083,0.011839483989298653,
107,Sebastopol-103 Morris Street            ,2020-02-07,0.006191304347826088,0.011839483989298653,
108,San Jose-Knox Avenue                    ,2020-02-07,0.024221739130434784,0.011839483989298653,
109,Berkeley-Aquatic Park                   ,2020-02-07,0.021473913043478263,0.011839483989298653,
110,Napa-Valley College,2020-02-07,0.008869565217391306,0.011839483989298653,
111,Pleasanton-Owens Ct                     ,2020-02-07,0.02331304347826087,0.011839483989298653,
112,Redwood City,2020-02-08,0.008956521739130436,0.011839483989298653,
113,San Francisco-Arkansas Street,2020-02-08,0.008478260869565216,0.011839483989298653,
114,Vallejo-304 Tuolumne Street,2020-02-08,0.007282608695652173,0.011839483989298653,
115,San Rafael,2020-02-08,0.008417391304347824,0.011839483989298653,
116,Concord-2956-A Treat Blvd,2020-02-08,0.008017391304347827,0.011839483989298653,
117,Oakland-9925 International Blvd,2020-02-08,0.010417391304347825,0.011839483989298653,
118,Livermore-793 Rincon Avenue,2020-02-08,0.012652173913043477,0.011839483989298653,
119,San Jose-Jackson Street,2020-02-08,0.00994090909090909,0.011839483989298653,
120,San Pablo-Rumrill Blvd,2020-02-08,0.006873913043478261,0.011839483989298653,
