,name,date,PM25HR,Pre-Shelter in place mean,Post-Shelter in place mean
350,Oakland-West,2020-02-21,12.791666666666666,7.653170861649276,
351,Oakland-Laney College                   ,2020-02-21,13.545454545454545,7.653170861649276,
352,Sebastopol-103 Morris Street            ,2020-02-21,9.833333333333334,7.653170861649276,
353,San Jose-Knox Avenue                    ,2020-02-21,16.958333333333332,7.653170861649276,
354,Berkeley-Aquatic Park                   ,2020-02-21,12.75,7.653170861649276,
355,Napa-Valley College,2020-02-21,10.625,7.653170861649276,
356,Pleasanton-Owens Ct                     ,2020-02-21,11.666666666666666,7.653170861649276,
357,Redwood City,2020-02-22,13.25,7.653170861649276,
358,Gilroy-9th Street,2020-02-22,12.272727272727273,7.653170861649276,
359,San Francisco-Arkansas Street,2020-02-22,12.833333333333334,7.653170861649276,
360,Vallejo-304 Tuolumne Street,2020-02-22,14.541666666666666,7.653170861649276,
361,San Rafael,2020-02-22,12.666666666666666,7.653170861649276,
362,Concord-2956-A Treat Blvd,2020-02-22,11.208333333333334,7.653170861649276,
363,Oakland-9925 International Blvd,2020-02-22,12.625,7.653170861649276,
364,Livermore-793 Rincon Avenue,2020-02-22,9.958333333333334,7.653170861649276,
365,San Jose-Jackson Street,2020-02-22,13.055555555555555,7.653170861649276,
