,name,date,NOX,Pre-Shelter in place mean,Post-Shelter in place mean
314,Oakland-Laney College                   ,2020-02-20,0.043404347826086966,0.01818764397517645,
315,Sebastopol-103 Morris Street            ,2020-02-20,0.013760869565217389,0.01818764397517645,
316,San Jose-Knox Avenue                    ,2020-02-20,0.041321739130434784,0.01818764397517645,
317,Berkeley-Aquatic Park                   ,2020-02-20,0.04415238095238096,0.01818764397517645,
318,Napa-Valley College,2020-02-20,0.015004347826086955,0.01818764397517645,
319,Pleasanton-Owens Ct                     ,2020-02-20,0.04434347826086957,0.01818764397517645,
320,Redwood City,2020-02-21,0.029277272727272728,0.01818764397517645,
321,San Francisco-Arkansas Street,2020-02-21,0.024227272727272722,0.01818764397517645,
322,Vallejo-304 Tuolumne Street,2020-02-21,0.03789545454545453,0.01818764397517645,
323,San Rafael,2020-02-21,0.021622727272727276,0.01818764397517645,
324,Concord-2956-A Treat Blvd,2020-02-21,0.014252173913043478,0.01818764397517645,
325,Oakland-9925 International Blvd,2020-02-21,0.022117391304347832,0.01818764397517645,
326,Livermore-793 Rincon Avenue,2020-02-21,0.02884782608695651,0.01818764397517645,
327,San Jose-Jackson Street,2020-02-21,0.048568181818181816,0.01818764397517645,
328,San Pablo-Rumrill Blvd,2020-02-21,0.016847826086956518,0.01818764397517645,
329,Oakland-West,2020-02-21,0.04175,0.01818764397517645,
330,Oakland-Laney College                   ,2020-02-21,0.053752173913043474,0.01818764397517645,
331,Sebastopol-103 Morris Street            ,2020-02-21,0.015431249999999997,0.01818764397517645,
332,San Jose-Knox Avenue                    ,2020-02-21,0.04488695652173912,0.01818764397517645,
333,Berkeley-Aquatic Park                   ,2020-02-21,0.03951428571428572,0.01818764397517645,
334,Napa-Valley College,2020-02-21,0.01566086956521739,0.01818764397517645,
335,Pleasanton-Owens Ct                     ,2020-02-21,0.038947826086956516,0.01818764397517645,
336,Redwood City,2020-02-22,0.012769565217391305,0.01818764397517645,
337,San Francisco-Arkansas Street,2020-02-22,0.0081,0.01818764397517645,
338,Vallejo-304 Tuolumne Street,2020-02-22,0.0161,0.01818764397517645,
339,San Rafael,2020-02-22,0.013613043478260872,0.01818764397517645,
340,Concord-2956-A Treat Blvd,2020-02-22,0.008613043478260867,0.01818764397517645,
341,Oakland-9925 International Blvd,2020-02-22,0.014004347826086954,0.01818764397517645,
342,Livermore-793 Rincon Avenue,2020-02-22,0.010947826086956521,0.01818764397517645,
343,San Jose-Jackson Street,2020-02-22,0.012368181818181816,0.01818764397517645,
