,name,date,BC,Pre-Shelter in place mean,Post-Shelter in place mean
98,San Jose-Knox Avenue                    ,2020-03-05,0.4247111111111111,0.6571340706705748,
99,Berkeley-Aquatic Park                   ,2020-03-05,0.576775,0.6571340706705748,
100,Livermore-793 Rincon Avenue,2020-03-06,0.16521666666666665,0.6571340706705748,
101,Oakland-West,2020-03-06,0.131375,0.6571340706705748,
102,Oakland-Laney College                   ,2020-03-06,0.5202874999999999,0.6571340706705748,
103,San Jose-Knox Avenue                    ,2020-03-06,0.33960714285714294,0.6571340706705748,
104,Berkeley-Aquatic Park                   ,2020-03-06,0.44460000000000005,0.6571340706705748,
105,Livermore-793 Rincon Avenue,2020-03-07,0.14457083333333334,0.6571340706705748,
106,Oakland-West,2020-03-07,0.13385,0.6571340706705748,
107,Oakland-Laney College                   ,2020-03-07,0.343175,0.6571340706705748,
108,San Jose-Knox Avenue                    ,2020-03-07,0.25773913043478264,0.6571340706705748,
109,Berkeley-Aquatic Park                   ,2020-03-07,0.38532083333333333,0.6571340706705748,
110,Livermore-793 Rincon Avenue,2020-03-08,0.29539583333333336,0.6571340706705748,
111,Oakland-West,2020-03-08,0.19593750000000001,0.6571340706705748,
112,Oakland-Laney College                   ,2020-03-08,0.7924583333333336,0.6571340706705748,
113,San Jose-Knox Avenue                    ,2020-03-08,0.3660916666666667,0.6571340706705748,
114,Berkeley-Aquatic Park                   ,2020-03-08,0.4306625000000001,0.6571340706705748,
115,Livermore-793 Rincon Avenue,2020-03-09,0.4718083333333334,0.6571340706705748,
116,Oakland-West,2020-03-09,0.4697333333333333,0.6571340706705748,
117,Oakland-Laney College                   ,2020-03-09,0.7957826086956523,0.6571340706705748,
118,San Jose-Knox Avenue                    ,2020-03-09,0.7520916666666669,0.6571340706705748,
119,Berkeley-Aquatic Park                   ,2020-03-09,0.6698875000000002,0.6571340706705748,
120,Livermore-793 Rincon Avenue,2020-03-10,0.38885833333333336,0.6571340706705748,
121,Oakland-West,2020-03-10,0.48184999999999995,0.6571340706705748,
122,Oakland-Laney College                   ,2020-03-10,1.0594625,0.6571340706705748,
123,San Jose-Knox Avenue                    ,2020-03-10,0.7354130434782609,0.6571340706705748,
124,Berkeley-Aquatic Park                   ,2020-03-10,0.9069124999999999,0.6571340706705748,
125,Livermore-793 Rincon Avenue,2020-03-11,0.3099458333333333,0.6571340706705748,
126,Oakland-West,2020-03-11,0.535125,0.6571340706705748,
127,Oakland-Laney College                   ,2020-03-11,0.9783291666666666,0.6571340706705748,
128,San Jose-Knox Avenue                    ,2020-03-11,0.5623458333333332,0.6571340706705748,
